Date,Open,High,Low,Close,Volume
2025-11-01,280.50,285.30,278.80,283.75,2500000
2025-11-02,283.80,288.40,282.20,286.90,2700000
2025-11-03,286.95,290.20,285.50,288.80,2400000
2025-11-04,288.85,292.10,287.40,290.75,2600000
2025-11-05,290.80,294.30,289.20,293.90,2350000
2025-11-06,293.95,297.20,292.50,295.80,2550000
2025-11-07,295.85,299.00,294.30,297.50,2650000
2025-11-08,297.55,300.90,296.00,299.40,2480000
2025-11-09,299.45,302.80,298.10,301.30,2520000
2025-11-10,301.35,304.50,300.00,303.10,2600000
